,TCGA-A2-A3XY,TCGA-A7-A26G,TCGA-A8-A09X,TCGA-AC-A2QJ,TCGA-AO-A03U,TCGA-AR-A1AR,TCGA-BH-A0BL,TCGA-BH-A0RX,TCGA-C8-A26X,TCGA-D8-A27M
ACSM5,1.04359775,0.344177794,0.458732706,0.826561648,0.527085097,0.49911477,1.118228269,0.078030148,0.532783188,0.627362887
ACSM6,0.017540239,0.020246654,0.032382574,0,0,0,0.005060082,0,0.054705309,0
ACSS1,2.923195571,3.204217645,1.411945066,6.265239721,2.540587842,2.253838805,7.968817713,2.946097326,3.394579758,4.921383137
ACSS2,5.325840335,6.150770361,6.616893442,3.928981662,23.27624545,5.157994513,7.163809084,11.41608452,6.875882073,6.45071773
ACSS3,0.677370462,1.4187226,0.217376945,0.013768116,2.956474614,1.154271794,0.864077689,0.409399377,2.234754039,0.526463192
ACTA1,13.56033241,0.28131067,0.121602523,0.203542902,0.098627027,0.096223379,206.5372144,1.378967566,0.269624903,0.17851801
ACTA2,147.4664379,148.0720438,112.2365172,39.77339606,77.89658923,28.42307591,330.9164091,148.6132297,106.7345937,81.8523531
ACTA2-AS1,1.570027733,1.392687384,0.331264679,0.191201155,0.312682999,0.312594983,3.355684697,0.621770107,0.295489015,1.014987812
ACTB,2060.331996,1253.352483,1639.310984,2245.584066,1345.834947,1818.291561,1951.470633,3039.523209,3656.648213,1268.57246
ACTBL2,0.008810925,0.134249665,0.091093085,0,0.131932181,0.017162247,0.254181272,0.147570258,0.020609941,0.749082233
ACTC1,0.023880096,0.012250993,0.015675428,0.011575643,0.060919924,0.165385013,0.713397354,0.568827837,0.074478348,0.051474742
ACTG1,1610.351638,934.9839585,754.40969,1369.100297,909.4819539,801.3557736,1240.094097,983.6312338,830.1073677,1011.752703
ACTG1P17,0.11745098,0.037960545,0.130101936,0.119559748,0.076209298,0.06863261,0.135531006,0.039342682,0.082420099,0.08712077
ACTG2,244.6624671,1.207929945,0.472258761,3.56023356,1.138129407,0.880764156,321.5667476,9.747900373,0.951929433,0.917761908
ACTL10,0.40665375,0.543662599,1.371536145,1.562260846,1.217822504,0.153690119,0.651350789,3.120798071,1.703673837,1.011240687
ACTL6A,146.7484388,25.75472366,15.09770596,4.086512675,9.702774832,25.54467786,25.94146806,15.99880046,15.29310353,14.87214178
ACTL6B,0.025761538,0.01427351,0,0,0,0.020071711,0.005945437,0,0,0
ACTL7A,0,0,0.024336783,0,0,0,0,0.013798906,0,0
