,TCGA-AC-A6IW,TCGA-AO-A128,TCGA-B6-A3ZX,TCGA-C8-A12V,TCGA-E2-A1LH,TCGA-EW-A1OV,TCGA-EW-A1PB,TCGA-EW-A6SB,TCGA-LL-A5YO,TCGA-S3-AA10
MAL2-AS1,0.046954616,0.078667759,0.010891931,0.053460975,0.12157354,0.161518903,0.049894771,0.114189993,0.069879621,0.080669611
MALAT1,7.32406734,11.74195294,19.40572678,13.51816934,15.70454491,19.13168803,3.678079516,3.378941245,73.10368154,8.068527458
MALL,2.003584745,3.307465478,4.335036834,0.613779935,0.252014616,0.726299556,1.675547384,0.509834703,0.183855997,0.617439646
MALRD1,0,0.08849828,0.019086426,0.026022805,0.007890327,0.031448546,0.011657717,0,0.013605915,0.005235594
MALSU1,8.027995655,6.959914257,10.69090722,6.267469861,3.8580894,3.768054391,8.554238854,4.746846292,7.99986474,8.484029857
MALT1,3.217849597,5.419012237,6.839284635,4.590868851,2.651003472,3.416794686,5.756030914,4.440543629,2.846717035,3.914241922
MAMDC2,0.203035463,0.027488129,0.312556604,0.740793085,0.119475812,0.177779757,0.03530437,0.007481311,0.219756359,0.031711069
MAMDC2-AS1,0.021639498,0.059081917,0.018405398,0.047222868,0.149408974,0.012406263,0.045988995,0.017541862,0.002683726,0.024784924
MAMDC4,0.483866931,3.012169154,1.185774635,0.725667487,0.398520686,0.73379021,0.4948149,0.448126299,1.117911024,1.150858419
MAML1,4.140408838,6.628635609,7.288964022,5.754393831,4.22411187,7.66379241,12.69695431,5.299980592,7.712293134,6.230765268
MAML2,4.112673502,4.435246695,6.57126353,6.143716234,6.5203195,3.727828555,3.866188508,3.970668288,2.1556251,6.919583649
MAML3,0.931304495,0.66476425,1.489633161,1.972278832,0.586628738,2.359069723,0.642498351,0.127470361,0.996472234,0.458972349
MAMLD1,0.23401651,0.640116304,2.739134272,1.393390596,2.921346045,1.223916398,0.167471572,0.730745043,0.497531642,3.292282785
MAMSTR,0.860544398,1.403168851,0.568255863,0.822449306,0.677645006,0.950715236,0.80763443,1.209330006,0.362240221,1.357938445
MAN1A1,11.38406891,12.00109553,14.82942756,12.32104079,9.067157774,24.34322446,4.299647547,14.48549257,11.72905188,10.26984959
MAN1A2,4.338670627,11.69309795,7.635275439,12.07737182,3.156422349,8.047014755,5.620617291,4.253214019,5.790576927,6.54878352
MAN1B1,8.702683832,10.70074149,12.52599563,9.607694768,9.248622024,9.305163892,12.76628772,9.704436097,15.52242287,9.623416849
MAN1B1-DT,0.988003377,1.160125315,1.022514968,0.757149627,0.623129334,0.692797024,1.195235633,1.016547135,1.936947748,0.565807685
MAN1C1,0.98830987,1.556635586,4.197532657,1.368434527,1.775315798,2.372185856,1.17414126,0.52708183,2.680118823,0.895914407
MAN2A1,2.068761163,4.580762881,4.358906685,3.381293555,2.564388795,4.873311694,5.374192585,2.584351987,3.996357268,3.192850613
MAN2A2,2.294396324,6.431874474,6.980293828,4.803971314,3.692149017,2.774356029,4.650913978,1.654681731,4.535520662,4.453826302
MAN2B1,43.85720148,46.59976562,35.83976438,46.80781197,24.3225127,35.68975654,36.83598907,35.69515656,34.00706905,31.98255842
MAN2B2,3.885391567,10.34330433,10.0569139,6.91784297,4.229592358,8.992725555,10.25714359,3.195022665,6.139322873,4.264732506
MAN2C1,4.919764951,3.364378954,8.317167641,4.197798624,2.71206883,3.065555913,3.814422287,2.6551809,6.028281019,4.913144121
MANBA,3.80427556,4.52819028,8.218366939,10.59576155,3.289128382,1.986728449,7.273252471,5.806237007,4.106338811,4.67399934
MANBAL,29.35196184,18.9343742,24.76401767,60.86384966,32.63372664,19.73164674,39.18881694,23.02408088,29.40479778,23.28748228
MANCR,0.11115038,0.006897086,0.042972073,0.010546013,0.015988187,0.050979404,0.007874019,0,0,0.424355764
MANEA,1.689605775,2.333441124,3.607566419,3.068285837,2.66315663,4.354331019,1.189163515,5.619844998,3.102348009,2.470049976
MANEA-DT,0.100368597,0.204358118,0.276476406,0.151773304,0.175954649,0.194207252,0.086655865,0.343249682,0.12836683,0.152678264
MANEAL,34.38487458,1.662979419,10.95710973,5.555211763,3.234508736,1.378369562,4.147713615,5.225856989,6.770196085,2.524199693
